Title,Artist,Genre,Verse1,Verse2,Verse3,Verse4,Verse5,Verse6,Verse7,Verse8,Chorus1,Chorus2,Chorus3,Chorus4,Chorus5,Chorus6,Chorus7,Chorus8
Hide And Seek,Imogen Heap,Vocal,A,E,F#,D,D,A,E,F#,A,E,F#,D,D,F#,F#,A
Mischievous Function - Ochame kinou,Gojimaji-P,Vocal,E,B,C#,C#,D#,E,B,C#,E,B,C#,C#,D#,E,B,C#
Bright Eyes,Art Garfunkel,Vocal,G,C,G,E,C,G,D,D,B,C,D,B,C,A,D,E
The Longest Time,Billy Joel,Vocal,E-,A-,E-,E-,B-,B-,B-,C,E-,B-,E-,A-,B-,E-,B-,E-
Okami - Reset,Capcom,Vocal,A,E,A,E,A,E,D,E,F,G,A,E,F,G,C,F
Deutschland,Die Prinzen,Vocal,A-,D-,E-,A-,D-,E-,A-,D-,A-,D-,E-,A-,D-,E-,A-,D-
On To Grasstown,Cave Story,Video Game,C,C,B-,B-,C,C,B-,B-,C,G,F,F,C,G,F,F
Doki Doki Literature Club OST - Your Reality,Dan Salvato,Video Game,C,A,F,G,C,A,F,G,C,D,G,C,A,D,G,C
Downstream,Braid Soundtrack,Video Game,E,G#,A,G#,A,D,D,E,A,F#,E,D,E,A,F#,D
Mega Man and Bass - Tengu Man Stage,Capcom,Video Game,A-,D,B-,C,B-,A-,A-,E-,G,C,C,G,C,C,F,C
Phoenix,All Levels at Once,Video Game,D#,E#,D#,A#,D#,E#,D#,A#,D#,B,F#,C#,D#,B,F#,C#
Super Hexagon Theme 1,Chipzel,Video Game,B-,B-,B-,B-,G-,G-,A-,F,B-,B-,B-,B-,G-,G-,A-,A-
Faster Than Light - Last Stand,Ben Prunty,Video Game,C#,C#,F#,C#,A,G#,C#,E,F#,A,C#,B,F#,A,C#,B
Mega Man and Bass - Intro Museum,Capcom,Video Game,C,F,C,D,G,C,F,C,F,D,C,F,A-,D,F,D
The Gluten Free Mambo Tango Experience,andres,Video Game,F,E,A,D,G,C,F,B-,C,C,F,B,E,E,C,E
Otis,Chipzel,Video Game,E,E,G,A,C,C,C,G,E,E,E,E,C,C,G,G
Okami - Reset,Capcom,Video Game,A,E,A,E,A,E,D,E,F,G,A,E,F,G,C,F
Apocalypse,All Levels at Once,Video Game,G#,B,F#,E,G#,B,F#,E,E,C#,F#,D#,G#,G#,E,C#
Futari Saison,Keyakizaka46,J-Pop,A-,E-,F,C,D-,C,B-,E-,D-,E-,C,F,D-,E-,C,F
Asu e no Houkou,JAM Project,J-Pop,C#,A,E,B,C#,F#,F#,G#,C#,E,A,B,B,E,F#,G#
Okochoma Sensou,GigaP and Reol,J-Pop,A,F,G,A,F,G,A,F,A,F,G,A,F,G,A,G
Liminality,FELT,J-Pop,C,A-,C,A-,C,A-,C,C,A#,B,C#,D#,B,C#,D#,B
Galient World,EUROX,J-Pop,A,D,F,D,A,D,F,D,G,G,B,G,G,B,B,E
Sugar Rush,AKB48,J-Pop,G,D,B,A,G,D,B,A,D,E,B,A,D,E,B,A
Wooden Doll,Kenshi Yonezu,J-Pop,B-,C,B-,E-,B-,C,B-,E-,F,G,E-,B-,F,G,E-,B-
Aozora no Rhapsody,Fhana,J-Pop,E-,E-,E-,A-,F,E-,D,C,A-,C,D-,B-,C,F,B-,E-
Flyers - Death Parade OP,BRADIO,J-Pop,D-,F,G,A-,G,D-,F,G,C,G,D-,F,G,C,G,D-
Ouka Ranman,KEYTALK,J-Pop,B-,C,D,B-,C,F,B-,C,B-,C,F,D,B-,C,F,A
Macross 7 - Try Again,Fire Bomber,J-Pop,C,A,G,C,F,G,A,F,C,E,A,F,C,E,A,F
Dakishimete Dakishimete,Berryz Kobo,J-Pop,G#,C#,D#,G#,D#,C#,B,C#,G#,E,F#,B,C#,A#,E,D#
Love Live Sunshine - Mijuku DREAMER,Aqours,J-Pop,F,B-,D,F,F,D,A,F,F,C,C,C,G,C,C,C
Love Live - Mermaid festa vol 2 -Passionate-,Honoka Kousaka - Rin Hoshizora,J-Pop,F,C,D,C,C,B-,C,D,G,D,E,D,D,C,D,E
Mischievous Function - Ochame kinou,Gojimaji-P,J-Pop,E,B,C#,C#,D#,E,B,C#,E,B,C#,C#,D#,E,B,C#
Love Live Sunshine - MIRAI TICKET,Aqours,J-Pop,B-,E-,F,A,G,C,C,B-,G,C,D,F#,E,D,D,C
SONG FOR,FELT,J-Pop,A-,B-,C,C,A-,B-,D,B-,A-,B-,G,C,A-,B-,C,G
Closer,Joe Inoue,J-Pop,B,F#,G#,F#,B,E,B,C#,E,F#,B,G#,E,F#,B,G#
Tsukematsukeru,Kyary Pamyu Pamyu,J-Pop,D,A,D,F#,E,A,D,A,D,C#,B,A,D,C#,B,E
Blue Bird,Ikimono-gakari,J-Pop,F#,E,D,A,B,A,D,C#,D,C#,F#,B,E,A,D,C#
Connect,ClariS,J-Pop,A,A,B,B,B,G#,D#,C#,D,D,C,D,D,B,E,E
Lovelight - Bad Apple,Alstroemeria Records,J-Pop,D#,B,C#,C#,D#,B,C#,C#,B,C#,D#,B,C#,D#,B,C#
Only My Railgun,fripSide,J-Pop,F,E-,D-,E-,A-,E-,F,E-,G#,E,F#,B,F#,G#,E,C#
Level5- Judgelight  - To Aru Kagaku no Railgun OP2,fripSide,J-Pop,G#,D#,E,B,C#,F#,D#,G#,G#,D#,E,F#,B,C#,F#,B
Getter Robo,Isao Sasaki,J-Pop,F,C,F,D-,E-,C,F,C,G,A-,C,B-,C,F,E-,C
Sky Gate,FELT,J-Pop,G,B,G,B,G,B,G,B,G,A,B,G,A,B,G,A
Mag Mell Cuckool Mix 2007 - Clannad OP,Eufonius,J-Pop,B,A,G,A,B,A,E,B,E,C,G,A,D,E,C,D
VICTORY,JAM Project,J-Pop,A,E,F#,E,D,E,D,G#,D,G,C,F,F,B-,C,A
Love Live Sunshine - GALAXY HidE and SeeK,AZALEA,J-Pop,E-,D,E-,F,G,F,B-,F,F,F,F,F,E-,F,D,G
ASHIOTO,Akagami feat COCOROBO,J-Pop,D,G,A,B,D,G,A,B,G,D,A,B,G,D,A,C#
Yuyushiki OP - Seeno,FuwariP,J-Pop,F#,B,C#,D#,F#,B,C#,D#,G,C,D,E,G,C,D,E
Plastic Girl,Capsule,J-Pop,F,F,F,C,B-,A,D,B-,G,F,E,D,C,D,A,G
HARAJUKU IYAHOI,Kyary Pamyu Pamyu,J-Pop,E,G,C,D,E,G,C,G,C,G,D,E,C,G,D,E
Naruto Opening Bluebird,Ikimono Gakari,J-Pop,G#,B,E,B,C#,B,A#,D#,E,D#,G#,C#,F#,B,E,D#
The Cave,Mumford and Sons,Folk,C#,E,C#,E,C#,E,B,E,E,A,E,E,A,E,A,E
Something In The Water,Brooke Fraser,Folk,C,F,C,A,G,C,C,F,A,C,G,C,F,C,F,G
To France,Mike Oldfield,Folk,B,B,F#,A,F#,B,C#,D,D,F#,F#,F#,F#,F#,F#,D
Bright,Echosmith,Folk,F#,F#,C#,D#,D#,B,C#,F#,B,F#,D#,C#,B,F#,D#,C#
Jingle Bells,James Lord Pierpont,Folk,A,D,B,E,A,D,A,E,A,D,A,E,E,A,D,A
Danny's Song,Anne Murray,Folk,E,D#,C#,F#,B,B,E,D#,A,B,E,G#,C#,C#,A,B
King and Cross,Asgeir,Folk,A,G#,A,F#,A,G#,A,F#,A,B,C#,F#,A,B,C#,F#
Bare To The Bone,Carrie Newcomer,Folk,G,G,D,E,E,G,G,D,E,C#,D,G,D,E,C#,D
All 'Bout The Money,Meja,Folk,E,B,A,A,E,B,A,A,A,B,G#,B,A,B,C#,B
Hey Ya,Obadiah Parker,Folk,E,A,A,B,C#,E,A,A,E,A,A,B,C#,E,A,A
Little Talks,Of Monsters And Men,Folk,B-,G-,D-,B-,G-,D-,B-,G-,B-,G-,D-,A-,B-,G-,D-,A-
Little Lion Man,Mumford and Sons,Folk,D,D,F,F,D,D,F,F,D,B-,F,D,B-,F,D,B-
Big Jet Plane,Angus and Julia Stone,Folk,D-,B-,F,F,D-,B-,F,F,D-,B-,F,F,D-,B-,F,A-
Babel,Mumford and Sons,Folk,B,B,B,B,B,B,A,A,G,A,G,D,G,A,G,D
I Will Wait,Mumford and Sons,Folk,C,C,F,F,C,C,G,G,C,C,E,G,C,C,E,G
So Lonely,The Police,Reggae,C,G,A,F,C,G,A,F,C,G,A,F,C,G,A,F
No Woman No Cry,Bob Marley,Reggae,D-,A-,B-,G-,D-,A-,B-,G-,D-,A-,B-,G-,D-,G-,D-,E-
Ride,Twenty One Pilots,Reggae,F#,G#,D#,B,F#,G#,D#,B,F#,F#,F#,G#,D#,D#,D#,B
Santeria,Sublime,Reggae,E,B,C#,B,E,B,C#,B,A,B,E,B,C#,A,B,E
I Saw The Sign,Ace Of Base,Reggae,G,E,A,D,G,E,A,D,G,E,C,D,G,E,C,D
Let Me Down Easy,Derrick Harriott,Reggae,C,G,C,G,C,G,C,G,D,G,C,G,C,D,G,C
Rude,MAGIC,Reggae,G-,A-,D-,B-,G-,A-,D-,B-,G-,A-,D-,B-,G-,A-,D-,B-
Mamma Mia,ABBA,Worship,D,G,G,G,G,G,G,G,D,G,D,G,D,G,G,G
We Are Number One,Lazy Town,Worship,F,F,D-,C,F,F,D-,C,F,F,D-,C,F,F,D-,C
Satisfied in You,the Sing Team,Worship,D-,D-,D-,D-,A-,B-,B-,F,G-,D-,A-,B-,G-,D-,A-,A-
Blogoslawieni Milosierni,WYD Krakow 2016,Worship,C#,A,E,D#,A,E,B,B,E,B,C#,A,E,B,B,F#
All The People Say Amen,Matt Maher,Worship,C,G,D,E,C,G,D,E,G,D,G,C,G,D,C,G
Our God,Chris Tomlin,Worship,G#,E,B,G#,E,B,C#,C#,G#,E,B,F#,G#,E,B,F#
Archie Marry Me,Alvvays,Indie,G,D,A,C,G,D,A,C,G,D,D,D,A,C,G,D
Wooden Doll,Kenshi Yonezu,Indie,B-,C,B-,E-,B-,C,B-,E-,F,G,E-,B-,F,G,E-,B-
Somebody That I Used To Know,Gotye,Indie,D,C,D,C,D,C,D,C,D,C,B-,C,D,C,B-,C
Brighter Than Sunshine,Aqualung,Indie,D#,A#,A#,E,B,B,D#,A#,B,E,G#,G#,F#,F#,E,B
My Heart Will Go On,Celine Dion,Indie,E-,B-,A-,E-,B-,E-,B-,A-,C,B-,A-,B-,C,B-,A-,B-
Cosmic Love,Florence and the Machine,Indie,F,C,A,F,C,A,F,C,F,C,A,F,C,A,F,C
Clearest Blue,CHVRCHES,Indie,F#,F#,F#,F#,B,B,B,B,D#,D#,C#,C#,B,B,B,B
Surfing On A Rocket,Air,Indie,E-,E-,C,E-,E-,E-,C,C,A-,B-,B-,D,F,A-,B-,B-
Electric Bloom,Foals,Indie,F#,A,D,B,C#,F#,A,D,F#,A,D,B,C#,F#,A,D
